Ukprn,Provider,Award,Date
"10003189","Kirklees College","Silver","June 2017"
"10008325","KLC Limited","Provisional","June 2019"
"10003758","Lamda Limited","Gold","October 2019"
"10007768","The University of Lancaster","Gold","June 2017"
"10039956","The University of Law Limited","Silver","June 2019"
"10007795","The University of Leeds","Gold","June 2017"
"10003854","Leeds Arts University","Silver","June 2017"
"10003861","Leeds Beckett University","Silver","June 2017"
"10034449","Leeds Conservatoire","Silver","June 2019"
"10003863","Leeds Trinity University","Silver","June 2017"
"10007796","The University of Leicester","Silver","June 2017"
"10003867","Leicester College","Gold","June 2017"
"10007151","University of Lincoln","Gold","June 2017"
"10003928","Lincoln College","Silver","June 2019"
"10006842","The University of Liverpool","Silver","June 2018"
"10003956","Liverpool Hope University","Gold","June 2017"
"10003945","The Liverpool Institute for Performing Arts","Gold","June 2017"
"10003957","Liverpool John Moores University","Silver","June 2017"
"10007784","University College London","Silver","June 2017"
"10008289","The London Institute of Banking & Finance","Silver","June 2019"
"10004048","London Metropolitan University","Bronze","June 2017"
"10004063","The London School of Economics and Political Science","Bronze","June 2017"
"10022285","London School of Management Education Limited","Bronze","June 2019"
"10004078","London South Bank University","Silver","June 2017"
"10000948","London South East Colleges","Silver","June 2018"
"10004079","London Studio Centre Limited","Gold","June 2019"
"10004112","Loughborough College","Gold","June 2019"
"10004113","Loughborough University","Gold","June 2017"
"10023139","LTE Group","Silver","June 2017"
"10024962","Luminate Education Group","Bronze","June 2019"
"10009612","Luther King House Educational Trust","Bronze","June 2019"
"10004144","Macclesfield College","Provisional","June 2019"
"10007798","The University of Manchester","Silver","June 2017"
"10004180","Manchester Metropolitan University","Silver","June 2017"
"10023452","The Markfield Institute of Higher Education","Silver","June 2019"
"10045476","Met Film School Limited","Provisional","June 2019"
"10004320","The Metanoia Institute","Bronze","June 2019"
"10004344","Middlesbrough College","Gold","June 2017"
"10004351","Middlesex University","Silver","June 2017"
"10004375","Milton Keynes College","Bronze","June 2017"
"10023777","Mont Rose College of Management and Sciences Limited","Silver","June 2019"
"10023454","Moorlands College","Silver","June 2019"
"10004432","Morley College Limited","Provisional","June 2019"
"10004478","Myerscough College","Gold","June 2018"
"10004538","Nazarene Theological College","Silver","June 2019"
"10004599","NCG","Silver","June 2017"
"10048199","NCH at Northeastern Limited","Provisional","June 2019"
"10009614","Neath Port Talbot College","Silver","June 2017"
"10030129","Nelson College London Limited","Silver","June 2019"
"10006963","New City College","Silver","June 2019"
"10004576","New College Durham","Silver","June 2018"
"10006303","New College Stamford","Silver","June 2017"
"10007799","University of Newcastle upon Tyne","Gold","June 2017"
"10007832","Newman University","Silver","June 2017"
"10008397","Norland College Limited","Gold","June 2019"
"10004690","North Hertfordshire College","Silver","June 2017"
"10007138","The University of Northampton","Gold","June 2017"
"10007011","Northampton College","Silver","June 2017"
"10004740","Northern College of Acupuncture","Bronze","June 2019"
"10001503","The Northern School of Art","Gold","June 2017"
"10001282","University of Northumbria at Newcastle","Silver","June 2017"
"10004775","Norwich University of the Arts","Gold","June 2017"
"10004797","Nottingham Trent University","Gold","June 2017"
"10007154","University of Nottingham, The","Gold","June 2017"
"10004835","Oaklands College","Silver","June 2017"
"10006770","The Oldham College","Silver","June 2019"
"10007780","School of Oriental and African Studies","Silver","August 2018"
"10000936","University College of Osteopathy (The)","Silver","June 2018"
"10007774","University of Oxford","Gold","June 2017"
"10004930","Oxford Brookes University","Silver","June 2017"
"10005072","Peter Symonds College","Silver","June 2018"
"10004676","Petroc","Silver","June 2018"
"10007801","University of Plymouth","Silver","June 2018"
